t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
0.00000000e+00,2.279399987501791e+11,-2.386982091107302e+07,2.279645762711864e+11,0.000000000000000e+00,2.526876428563472e+00,2.412989239066407e+04,5.000000000000000e+02,2.412859179727062e+04,3.426109862235940e+07,2.393399456986732e+07
1.80000000e+02,2.279399991636355e+11,-1.952644027667850e+07,2.279646666534432e+11,4.343557454764667e+06,2.067083027254824e+00,2.412989243443286e+04,5.042470262954602e+02,2.413315466081678e+04,3.432581899315366e+07,2.370925424504412e+07
3.60000000e+02,2.279399994943290e+11,-1.518305963519413e+07,2.279647577993034e+11,8.687933897969522e+06,1.607289625195638e+00,2.412989246944031e+04,5.084844216383015e+02,2.413769163480922e+04,3.439183045313108e+07,2.348726482474554e+07
5.40000000e+02,2.279399997422597e+11,-1.083967898820086e+07,2.279648497070009e+11,1.303312465528652e+07,1.147496222553277e+00,2.412989249568644e+04,5.127118272822926e+02,2.414220256271325e+04,3.445912800125949e+07,2.326808885025895e+07
7.20000000e+02,2.279399999074276e+11,-6.496298337273437e+06,2.279649423747062e+11,1.737912502495459e+07,6.877028194944429e-01,2.412989251317123e+04,5.169288901920200e+02,2.414668729624381e+04,3.452770653141565e+07,2.305177889660366e+07
9.00000000e+02,2.279399999898327e+11,-2.152917683986847e+06,2.279650358005265e+11,2.172593027925844e+07,2.279094161858659e-01,2.412989252189470e+04,5.211352631314170e+02,2.415114569529872e+04,3.459756083530138e+07,2.283837830654663e+07
1.08000000e+03,2.279399999894750e+11,2.190462970082306e+06,2.279651299825060e+11,2.607353566599647e+07,-2.318839872055538e-01,2.412989252185683e+04,5.253306047613254e+02,2.415557762790069e+04,3.466868487947951e+07,2.262792189002504e+07
1.26000000e+03,2.279399999063545e+11,6.533843623355252e+06,2.279652249186295e+11,3.042193640993634e+07,-6.916773905126863e-01,2.412989251305763e+04,5.295145797131905e+02,2.415998297011761e+04,3.474107391362221e+07,2.242043658961792e+07
1.44000000e+03,2.279399997404712e+11,1.087722427425541e+07,2.279653206068213e+11,3.477112771425643e+07,-1.151470793568634e+00,2.412989249549710e+04,5.336868586719320e+02,2.416436160599266e+04,3.481472236582930e+07,2.221594211064514e+07
1.62000000e+03,2.279399994918250e+11,1.522060492120783e+07,2.279654170449463e+11,3.912110476197447e+07,-1.611264196206670e+00,2.412989246917524e+04,5.378471184485282e+02,2.416871342746559e+04,3.488962440911481e+07,2.201445151679066e+07
1.80000000e+03,2.279399991604160e+11,1.956398556263768e+07,2.279655142308130e+11,4.347186271736100e+07,-2.071057598260084e+00,2.412989243409205e+04,5.419950420370700e+02,2.417303833428063e+04,3.496577486605445e+07,2.181597179172092e+07
1.98000000e+03,2.279399987462443e+11,2.390736619696403e+07,2.279656121621727e+11,4.782339672733743e+07,-2.530850999561517e+00,2.412989239024753e+04,5.461303186861378e+02,2.417733623390916e+04,3.504316749780340e+07,2.162050436654262e+07
2.16000000e+03,2.279399982493097e+11,2.825074682260985e+07,2.279657108367213e+11,5.217570192285756e+07,-2.990644399944022e+00,2.412989233764168e+04,5.502526439450177e+02,2.418160704145058e+04,3.512179719757115e+07,2.142804561524114e+07
2.34000000e+03,2.279399976696123e+11,3.259412743799809e+07,2.279658102521010e+11,5.652877342027210e+07,-3.450437799240653e+00,2.412989227627449e+04,5.543617197120050e+02,2.418585067953665e+04,3.520165780516394e+07,2.123858731812042e+07
2.52000000e+03,2.279399970071521e+11,3.693750804155172e+07,2.279659104058997e+11,6.088260632267614e+07,-3.910231197284463e+00,2.412989220614597e+04,5.584572542797792e+02,2.419006707823451e+04,3.528274326542924e+07,2.105211709488844e+07
2.70000000e+03,2.279399962619290e+11,4.128088863169371e+07,2.279660112956554e+11,6.523719572123799e+07,-4.370024593908506e+00,2.412989212725613e+04,5.625389623734038e+02,2.419425617494492e+04,3.536504814768615e+07,2.086861880814101e+07
2.88000000e+03,2.279399954339432e+11,4.562426920684700e+07,2.279661129188531e+11,6.959253669651066e+07,-4.829817988945837e+00,2.412989203960495e+04,5.666065651798425e+02,2.419841791429463e+04,3.544856632439498e+07,2.068807293957777e+07
