i,pos_init,d_min,b_min,delta_v,deflection_angle,collision
1,2.278900000000000e+11,4.938711631405509e+07,7.510771189619305e+06,8.019465747494319e+02,2.217076636497488e+00,0
2,2.278916949152542e+11,4.824631711003996e+07,7.367145464335974e+06,8.191867118162224e+02,2.200974407739831e+00,0
3,2.278933898305085e+11,4.710474782557538e+07,7.226172658011955e+06,8.370208475972574e+02,2.184005741599403e+00,0
4,2.278950847457627e+11,4.596319657943934e+07,7.088504369461342e+06,8.554754924751035e+02,2.166108039693407e+00,0
5,2.278967796610169e+11,4.482255569678956e+07,6.954905282339090e+06,8.745771600035862e+02,2.147213408464029e+00,0
6,2.278984745762712e+11,4.368383591658857e+07,6.826267794750402e+06,8.943519214483777e+02,2.127248273136359e+00,0
7,2.279001694915254e+11,4.254818257113137e+07,6.703630191145492e+06,9.148248105208563e+02,2.106133007597145e+00,0
8,2.279018644067797e+11,4.141689361608984e+07,6.588195085011632e+06,9.360190417542517e+02,2.083781599920686e+00,0
9,2.279035593220339e+11,4.029144081127977e+07,6.481347556844054e+06,9.579549914642664e+02,2.060101385755139e+00,0
10,2.279052542372881e+11,3.917349379003648e+07,6.384673884784940e+06,9.806488831658363e+02,2.034992890726253e+00,0
11,2.279069491525424e+11,3.806494563468150e+07,6.299976254506334e+06,1.004111108268205e+03,2.008349837891112e+00,0
12,2.279086440677966e+11,3.696794343403127e+07,6.229284062351773e+06,1.028344096764709e+03,1.980059399461983e+00,0
13,2.279103389830508e+11,3.588492052476739e+07,6.174854576475722e+06,1.053339647578696e+03,1.950002791725811e+00,0
14,2.279120338983051e+11,3.481863265493970e+07,6.139161593673429e+06,1.079075619606848e+03,1.918056342391358e+00,0
15,2.279137288135593e+11,3.377219516115586e+07,6.124863128277848e+06,1.105511883214298e+03,1.884093195661520e+00,0
16,2.279154237288136e+11,3.274912285862546e+07,6.134738701089640e+06,1.132585456541886e+03,1.847985849082647e+00,0
17,2.279171186440678e+11,3.175336847844568e+07,6.171589977071861e+06,1.160204782089488e+03,1.809609758979793e+00,0
18,2.279188135593220e+11,3.078935804484927e+07,6.238089788687609e+06,1.188243192491062e+03,1.768848261239613e+00,0
19,2.279205084745763e+11,2.986201882561158e+07,6.336571279314566e+06,1.216531739856036e+03,1.725599061675197e+00,0
20,2.279222033898305e+11,2.897679558753227e+07,6.468750874850708e+06,1.244851780361675e+03,1.679782496154635e+00,0
21,2.279238983050847e+11,2.813964523082183e+07,6.632986374864439e+06,1.272927999619118e+03,1.631351641285753e+00,0
22,2.279255932203390e+11,2.735700394563678e+07,6.662189007313162e+06,1.300422946399466e+03,1.580304131676931e+00,0
23,2.279272881355932e+11,2.663571473710515e+07,6.613655329828703e+06,1.326934568553284e+03,1.526695186462989e+00,0
24,2.279289830508474e+11,2.598290651192527e+07,6.551935979955840e+06,1.351998627564650e+03,1.470650862596335e+00,0
25,2.279306779661017e+11,2.540581579674947e+07,6.490548522373243e+06,1.375098043170261e+03,1.412379972553258e+00,0
26,2.279323728813559e+11,2.491154844602742e+07,6.434886506766788e+06,1.395680953281057e+03,1.352182559207296e+00,0
27,2.279340677966102e+11,2.450678652095103e+07,6.388110804595601e+06,1.413188346654579e+03,1.290452487833936e+00,0
28,2.279357627118644e+11,2.419745636172254e+07,6.352430011265189e+06,1.427090407427030e+03,1.227671869199987e+00,0
29,2.279374576271187e+11,2.398838868412694e+07,6.329465348919532e+06,1.436928398500950e+03,1.164395854301830e+00,0
30,2.279391525423729e+11,2.388300630019163e+07,6.320358401642282e+06,1.442356561885052e+03,1.101227888350499e+00,0
31,2.279408474576271e+11,2.388490423788262e+07,6.325799734280722e+06,1.443177043200966e+03,1.038787494557062e+00,0
32,2.279425423728813e+11,2.400496571484226e+07,6.346041814766856e+06,1.439361103195325e+03,9.776745225856980e-01,0
33,2.279442372881356e+11,2.424321655626502e+07,6.380923411677321e+06,1.431052185050281e+03,9.184348462663258e-01,0
34,2.279459322033898e+11,2.459622350797170e+07,6.429914489354327e+06,1.418550204596439e+03,8.615323283313089e-01,0
35,2.279476271186441e+11,2.505913734650827e+07,6.492180681942632e+06,1.402280434088904e+03,8.073304460163502e-01,0
36,2.279493220338983e+11,2.562600163415103e+07,6.566660706869648e+06,1.382753199680237e+03,7.560848732922485e-01,0
37,2.279510169491526e+11,2.629009440017286e+07,6.652147049214036e+06,1.360521476202489e+03,7.079461806649556e-01,0
38,2.279527118644068e+11,2.704425309874514e+07,6.747361505573619e+06,1.336142455776079e+03,6.629703201944364e-01,0
39,2.279544067796610e+11,2.788117039917234e+07,6.851019369147474e+06,1.310146999993704e+03,6.211339044547867e-01,0
40,2.279561016949153e+11,2.879363109827083e+07,6.961879135504893e+06,1.283018523805732e+03,5.823514304758315e-01,0
41,2.279577966101695e+11,2.977468996184872e+07,7.078777241702983e+06,1.255180927114773e+03,5.464921927620064e-01,0
42,2.279594915254237e+11,3.081779747871779e+07,7.200649314390877e+06,1.226994041242575e+03,5.133954283306149e-01,0
43,2.279611864406780e+11,3.191686981577000e+07,7.326540576841349e+06,1.198754594303118e+03,4.828829478218029e-01,0
44,2.279628813559322e+11,3.306632740525146e+07,7.455607859468387e+06,1.170700759921265e+03,4.547690683238025e-01,0
45,2.279645762711864e+11,3.426109862235940e+07,7.587115983473338e+06,1.143018668033133e+03,4.288680055722183e-01,0
46,2.279662711864407e+11,3.549660910798290e+07,7.720430581493606e+06,1.115849692841439e+03,4.049990830061858e-01,0
47,2.279679661016949e+11,3.676875184961470e+07,7.855008974022849e+06,1.089297702188649e+03,3.829901627231971e-01,0
48,2.279696610169492e+11,3.807385487804788e+07,7.990390204220734e+06,1.063435801144741e+03,3.626797107004727e-01,0
49,2.279713559322034e+11,3.940864388722946e+07,8.126185145232584e+06,1.038312315629509e+03,3.439178449115587e-01,0
