t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,-8.651025104603e+06,2.695447858255e+03,0.000000000000e+00,1.696956565748e+08
1.80000000e+02,-1.689897952766e+08,-8.651023872762e+06,2.695715991565e+03,1.370678779627e-02,1.692110872041e+08
3.60000000e+02,-1.685045421510e+08,-8.651020163077e+06,2.695985663046e+03,2.753184177737e-02,1.687264703120e+08
5.40000000e+02,-1.680192403451e+08,-8.651013954135e+06,2.696256886113e+03,4.147653362061e-02,1.682418083433e+08
7.20000000e+02,-1.675338895784e+08,-8.651005224277e+06,2.696529674335e+03,5.554225505079e-02,1.677571010484e+08
9.00000000e+02,-1.670484895679e+08,-8.650993951591e+06,2.696804041441e+03,6.973041819446e-02,1.672723481758e+08
1.08000000e+03,-1.665630400282e+08,-8.650980113908e+06,2.697080001326e+03,8.404245594151e-02,1.667875494719e+08
1.26000000e+03,-1.660775406713e+08,-8.650963688801e+06,2.697357568045e+03,9.847982231420e-02,1.663027046807e+08
1.44000000e+03,-1.655919912067e+08,-8.650944653578e+06,2.697636755823e+03,1.130439928441e-01,1.658178135443e+08
1.62000000e+03,-1.651063913413e+08,-8.650922985280e+06,2.697917579054e+03,1.277364649566e-01,1.653328758026e+08
1.80000000e+03,-1.646207407795e+08,-8.650898660677e+06,2.698200052303e+03,1.425587583639e-01,1.648478911930e+08
1.98000000e+03,-1.641350392229e+08,-8.650871656261e+06,2.698484190311e+03,1.575124154661e-01,1.643628594511e+08
2.16000000e+03,-1.636492863705e+08,-8.650841948246e+06,2.698770007996e+03,1.725990017604e-01,1.638777803099e+08
2.34000000e+03,-1.631634819186e+08,-8.650809512564e+06,2.699057520457e+03,1.878201062598e-01,1.633926535001e+08
2.52000000e+03,-1.626776255608e+08,-8.650774324856e+06,2.699346742975e+03,2.031773419200e-01,1.629074787503e+08
2.70000000e+03,-1.621917169879e+08,-8.650736360470e+06,2.699637691016e+03,2.186723460754e-01,1.624222557865e+08
2.88000000e+03,-1.617057558879e+08,-8.650695594461e+06,2.699930380236e+03,2.343067808853e-01,1.619369843326e+08
3.06000000e+03,-1.612197419459e+08,-8.650652001578e+06,2.700224826481e+03,2.500823337884e-01,1.614516641098e+08
3.24000000e+03,-1.607336748443e+08,-8.650605556267e+06,2.700521045792e+03,2.660007179682e-01,1.609662948370e+08
3.42000000e+03,-1.602475542623e+08,-8.650556232661e+06,2.700819054407e+03,2.820636728278e-01,1.604808762308e+08
