i,b,d_min,delta_v,deflection_angle,collision,t
1,-3.389500000000000e+07,2.935265199418766e+07,1.886887348031451e+00,2.001892203286396e+01,0,1.225800001128296e+05
2,-3.361135983263598e+07,2.906378725111403e+07,1.856346816027781e+00,2.019130389641459e+01,0,1.225800001128296e+05
3,-3.332771966527197e+07,2.877499185770879e+07,1.826033565162106e+00,2.036647015112843e+01,0,1.225800001128296e+05
4,-3.304407949790795e+07,2.848626783119820e+07,1.795948296256938e+00,2.054448921950493e+01,0,1.225800001128296e+05
5,-3.276043933054393e+07,2.819761725375302e+07,1.766091699993922e+00,2.072543176429560e+01,0,1.225800001128296e+05
6,-3.247679916317992e+07,2.790904227521173e+07,1.736464464016990e+00,2.090937077952701e+01,0,1.225800001128296e+05
7,-3.219315899581590e+07,2.762054511586342e+07,1.707067278804061e+00,2.109638168614016e+01,0,1.225800001128296e+05
8,-3.190951882845188e+07,2.733212806942775e+07,1.677900829183727e+00,2.128654243237751e+01,0,1.225800001128296e+05
9,-3.162587866108787e+07,2.704379350615570e+07,1.648965791734099e+00,2.147887529193556e+01,0,1.224000001121381e+05
10,-3.134223849372385e+07,2.675554387601850e+07,1.620262835215271e+00,2.167559058635358e+01,0,1.224000001121381e+05
11,-3.105859832635983e+07,2.646738171227466e+07,1.591792632636498e+00,2.187570581826319e+01,0,1.224000001121381e+05
12,-3.077495815899581e+07,2.617930963491121e+07,1.563555847363205e+00,2.207931015067750e+01,0,1.224000001121381e+05
13,-3.049131799163180e+07,2.589133035454191e+07,1.535553142106437e+00,2.228649585542405e+01,0,1.224000001121381e+05
14,-3.020767782426778e+07,2.560344667637331e+07,1.507785175434037e+00,2.249735844776698e+01,0,1.224000001121381e+05
15,-2.992403765690377e+07,2.531566150440579e+07,1.480252595843467e+00,2.271199682788531e+01,0,1.224000001121381e+05
16,-2.964039748953975e+07,2.502797784583560e+07,1.452956055322829e+00,2.293051342970011e+01,0,1.224000001121381e+05
17,-2.935675732217573e+07,2.474039881571766e+07,1.425896197982638e+00,2.315203133673441e+01,0,1.222200001114466e+05
18,-2.907311715481171e+07,2.445292764195067e+07,1.399073654842596e+00,2.337863715110870e+01,0,1.222200001114466e+05
19,-2.878947698744770e+07,2.416556767038886e+07,1.372489068891355e+00,2.360945130633304e+01,0,1.222200001114466e+05
20,-2.850583682008368e+07,2.387832237031870e+07,1.346143066039986e+00,2.384459202246373e+01,0,1.222200001114466e+05
21,-2.822219665271967e+07,2.359119534033989e+07,1.320036277421423e+00,2.408418192434652e+01,0,1.222200001114466e+05
22,-2.793855648535565e+07,2.330419031426244e+07,1.294169314161081e+00,2.432834824502367e+01,0,1.222200001114466e+05
23,-2.765491631799163e+07,2.301731116778996e+07,1.268542799387433e+00,2.457722303985881e+01,0,1.222200001114466e+05
24,-2.737127615062761e+07,2.273056192516450e+07,1.243157350919319e+00,2.483002672604794e+01,0,1.220400001107551e+05
25,-2.708763598326360e+07,2.244394676646823e+07,1.218013567071011e+00,2.508874573056183e+01,0,1.220400001107551e+05
26,-2.680399581589958e+07,2.215747003521397e+07,1.193112047099930e+00,2.535260063976692e+01,0,1.220400001107551e+05
27,-2.652035564853556e+07,2.187113624635831e+07,1.168453398727252e+00,2.562174519152973e+01,0,1.220400001107551e+05
