i,b,d_min,delta_v,delta_v_rel,deflection_angle,collision,t
1,-3.389500000000000e+07,2.935654040881419e+07,-1.420860933342447e+02,-4.914341448837149e+00,2.009409957787213e+01,0,1.216800001093721e+05
2,-3.361135983263598e+07,2.906717433827360e+07,-1.445230621448391e+02,-4.906266563014924e+00,2.026704302348868e+01,0,1.216800001093721e+05
3,-3.332771966527197e+07,2.877789820537139e+07,-1.470220228230319e+02,-4.899203201453020e+00,2.044277246204506e+01,0,1.216800001093721e+05
4,-3.304407949790795e+07,2.848867819116360e+07,-1.495853268165447e+02,-4.893181787690992e+00,2.062137824777908e+01,0,1.216800001093721e+05
5,-3.276043933054393e+07,2.819957224575599e+07,-1.522145463251945e+02,-4.888177752462070e+00,2.080289670043503e+01,0,1.216800001093721e+05
6,-3.247679916317992e+07,2.791052317035327e+07,-1.549124406167612e+02,-4.884237138863227e+00,2.098743797155449e+01,0,1.216800001093721e+05
7,-3.219315899581590e+07,2.762158432110095e+07,-1.576807809532656e+02,-4.881334501059428e+00,2.117504522848902e+01,0,1.216800001093721e+05
8,-3.190951882845188e+07,2.733271034061632e+07,-1.605224235915193e+02,-4.879501504723066e+00,2.136582781775474e+01,0,1.216800001093721e+05
9,-3.162587866108787e+07,2.704395285442412e+07,-1.634393293821740e+02,-4.878725046036834e+00,2.155983354367698e+01,0,1.216800001093721e+05
10,-3.134223849372385e+07,2.675525786266729e+07,-1.664346795831661e+02,-4.879040534920478e+00,2.175718429990949e+01,0,1.216800001093721e+05
11,-3.105859832635983e+07,2.646669434108026e+07,-1.695104345964028e+02,-4.880424958305412e+00,2.195792054226976e+01,0,1.216800001093721e+05
12,-3.077495815899581e+07,2.617821358874433e+07,-1.726699643872817e+02,-4.882905749770543e+00,2.216216762283462e+01,0,1.216800001093721e+05
13,-3.049131799163180e+07,2.588982263821881e+07,-1.759161568403288e+02,-4.886500203381729e+00,2.237001478587180e+01,0,1.216800001093721e+05
