t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,2.737127615063e+07,2.695447858255e+03,0.000000000000e+00,1.716710877903e+08
1.80000000e+02,-1.689897961009e+08,2.737127238641e+07,2.695706815906e+03,-4.188332204732e-02,1.711921103596e+08
3.60000000e+02,-1.685045454605e+08,2.737126105149e+07,2.695967207609e+03,-8.411967498610e-02,1.707131180694e+08
5.40000000e+02,-1.680192478196e+08,2.737124208195e+07,2.696229045292e+03,-1.267130349156e-01,1.702341136113e+08
7.20000000e+02,-1.675339029170e+08,2.737121541318e+07,2.696492341011e+03,-1.696674340317e-01,1.697550970172e+08
9.00000000e+02,-1.670485104889e+08,2.737118097981e+07,2.696757106959e+03,-2.129869615782e-01,1.692760683197e+08
1.08000000e+03,-1.665630702698e+08,2.737113871576e+07,2.697023355464e+03,-2.566757648170e-01,1.687970275531e+08
1.26000000e+03,-1.660775819915e+08,2.737108855417e+07,2.697291098992e+03,-3.007380500166e-01,1.683179747523e+08
1.44000000e+03,-1.655920453839e+08,2.737103042744e+07,2.697560350146e+03,-3.451780834621e-01,1.678389099539e+08
1.62000000e+03,-1.651064601745e+08,2.737096426718e+07,2.697831121673e+03,-3.900001924835e-01,1.673598331953e+08
1.80000000e+03,-1.646208260884e+08,2.737089000423e+07,2.698103426463e+03,-4.352087665054e-01,1.668807445154e+08
1.98000000e+03,-1.641351428485e+08,2.737080756862e+07,2.698377277550e+03,-4.808082581185e-01,1.664016439542e+08
2.16000000e+03,-1.636494101752e+08,2.737071688958e+07,2.698652688116e+03,-5.268031841709e-01,1.659225315532e+08
2.34000000e+03,-1.631636277867e+08,2.737061789552e+07,2.698929671492e+03,-5.731981268835e-01,1.654434073551e+08
2.52000000e+03,-1.626777953986e+08,2.737051051402e+07,2.699208241163e+03,-6.199977349859e-01,1.649642714038e+08
2.70000000e+03,-1.621919127241e+08,2.737039467182e+07,2.699488410764e+03,-6.672067248774e-01,1.644851237447e+08
2.88000000e+03,-1.617059794742e+08,2.737027029479e+07,2.699770194089e+03,-7.148298818099e-01,1.640059644247e+08
3.06000000e+03,-1.612199953569e+08,2.737013730797e+07,2.700053605088e+03,-7.628720610962e-01,1.635267934920e+08
3.24000000e+03,-1.607339600781e+08,2.736999563546e+07,2.700338657872e+03,-8.113381893423e-01,1.630476109963e+08
3.42000000e+03,-1.602478733410e+08,2.736984520053e+07,2.700625366716e+03,-8.602332657053e-01,1.625684169886e+08
3.60000000e+03,-1.597617348461e+08,2.736968592550e+07,2.700913746058e+03,-9.095623631772e-01,1.620892115218e+08
3.78000000e+03,-1.592755442916e+08,2.736951773178e+07,2.701203810504e+03,-9.593306298954e-01,1.616099946500e+08
3.96000000e+03,-1.587893013727e+08,2.736934053986e+07,2.701495574830e+03,-1.009543290480e+00,1.611307664290e+08
4.14000000e+03,-1.583030057820e+08,2.736915426926e+07,2.701789053985e+03,-1.060205647398e+00,1.606515269162e+08
4.32000000e+03,-1.578166572097e+08,2.736895883857e+07,2.702084263090e+03,-1.111323082359e+00,1.601722761706e+08
4.50000000e+03,-1.573302553429e+08,2.736875416537e+07,2.702381217446e+03,-1.162901057736e+00,1.596930142531e+08
4.68000000e+03,-1.568437998661e+08,2.736854016628e+07,2.702679932534e+03,-1.214945118021e+00,1.592137412258e+08
4.86000000e+03,-1.563572904609e+08,2.736831675688e+07,2.702980424014e+03,-1.267460891303e+00,1.587344571532e+08
5.04000000e+03,-1.558707268062e+08,2.736808385176e+07,2.703282707736e+03,-1.320454090788e+00,1.582551621010e+08
5.22000000e+03,-1.553841085779e+08,2.736784136447e+07,2.703586799733e+03,-1.373930516342e+00,1.577758561370e+08
5.40000000e+03,-1.548974354491e+08,2.736758920748e+07,2.703892716232e+03,-1.427896056070e+00,1.572965393309e+08
5.58000000e+03,-1.544107070899e+08,2.736732729224e+07,2.704200473652e+03,-1.482356687932e+00,1.568172117541e+08
5.76000000e+03,-1.539239231675e+08,2.736705552906e+07,2.704510088609e+03,-1.537318481388e+00,1.563378734800e+08
5.94000000e+03,-1.534370833459e+08,2.736677382720e+07,2.704821577918e+03,-1.592787599078e+00,1.558585245841e+08
6.12000000e+03,-1.529501872863e+08,2.736648209477e+07,2.705134958595e+03,-1.648770298545e+00,1.553791651436e+08
6.30000000e+03,-1.524632346466e+08,2.736618023875e+07,2.705450247863e+03,-1.705272933991e+00,1.548997952381e+08
6.48000000e+03,-1.519762250818e+08,2.736586816498e+07,2.705767463152e+03,-1.762301958063e+00,1.544204149491e+08
6.66000000e+03,-1.514891582436e+08,2.736554577813e+07,2.706086622103e+03,-1.819863923696e+00,1.539410243602e+08
6.84000000e+03,-1.510020337805e+08,2.736521298165e+07,2.706407742574e+03,-1.877965485975e+00,1.534616235572e+08
7.02000000e+03,-1.505148513378e+08,2.736486967783e+07,2.706730842638e+03,-1.936613404056e+00,1.529822126282e+08
7.20000000e+03,-1.500276105576e+08,2.736451576769e+07,2.707055940591e+03,-1.995814543114e+00,1.525027916636e+08
7.38000000e+03,-1.495403110785e+08,2.736415115104e+07,2.707383054951e+03,-2.055575876345e+00,1.520233607559e+08
7.56000000e+03,-1.490529525360e+08,2.736377572640e+07,2.707712204468e+03,-2.115904487006e+00,1.515439200001e+08
7.74000000e+03,-1.485655345620e+08,2.736338939102e+07,2.708043408119e+03,-2.176807570502e+00,1.510644694937e+08
7.92000000e+03,-1.480780567850e+08,2.736299204083e+07,2.708376685118e+03,-2.238292436517e+00,1.505850093365e+08
8.10000000e+03,-1.475905188301e+08,2.736258357045e+07,2.708712054919e+03,-2.300366511194e+00,1.501055396309e+08
8.28000000e+03,-1.471029203188e+08,2.736216387315e+07,2.709049537215e+03,-2.363037339366e+00,1.496260604818e+08
8.46000000e+03,-1.466152608691e+08,2.736173284081e+07,2.709389151946e+03,-2.426312586830e+00,1.491465719967e+08
8.64000000e+03,-1.461275400953e+08,2.736129036395e+07,2.709730919303e+03,-2.490200042682e+00,1.486670742860e+08
8.82000000e+03,-1.456397576081e+08,2.736083633165e+07,2.710074859730e+03,-2.554707621692e+00,1.481875674625e+08
9.00000000e+03,-1.451519130145e+08,2.736037063158e+07,2.710420993928e+03,-2.619843366742e+00,1.477080516419e+08
9.18000000e+03,-1.446640059178e+08,2.735989314992e+07,2.710769342859e+03,-2.685615451318e+00,1.472285269430e+08
9.36000000e+03,-1.441760359173e+08,2.735940377140e+07,2.711119927752e+03,-2.752032182054e+00,1.467489934870e+08
9.54000000e+03,-1.436880026087e+08,2.735890237922e+07,2.711472770106e+03,-2.819102001337e+00,1.462694513985e+08
9.72000000e+03,-1.431999055836e+08,2.735838885505e+07,2.711827891693e+03,-2.886833489972e+00,1.457899008050e+08
9.90000000e+03,-1.427117444299e+08,2.735786307901e+07,2.712185314564e+03,-2.955235369905e+00,1.453103418370e+08
1.00800000e+04,-1.422235187313e+08,2.735732492963e+07,2.712545061052e+03,-3.024316507014e+00,1.448307746281e+08
1.02600000e+04,-1.417352280676e+08,2.735677428384e+07,2.712907153779e+03,-3.094085913956e+00,1.443511993153e+08
1.04400000e+04,-1.412468720142e+08,2.735621101693e+07,2.713271615657e+03,-3.164552753090e+00,1.438716160389e+08
1.06200000e+04,-1.407584501427e+08,2.735563500251e+07,2.713638469897e+03,-3.235726339456e+00,1.433920249424e+08
1.08000000e+04,-1.402699620205e+08,2.735504611254e+07,2.714007740008e+03,-3.307616143836e+00,1.429124261728e+08
1.09800000e+04,-1.397814072103e+08,2.735444421722e+07,2.714379449808e+03,-3.380231795875e+00,1.424328198807e+08
1.11600000e+04,-1.392927852711e+08,2.735382918503e+07,2.714753623425e+03,-3.453583087284e+00,1.419532062200e+08
1.13400000e+04,-1.388040957570e+08,2.735320088265e+07,2.715130285304e+03,-3.527679975111e+00,1.414735853486e+08
1.15200000e+04,-1.383153382180e+08,2.735255917497e+07,2.715509460210e+03,-3.602532585092e+00,1.409939574278e+08
1.17000000e+04,-1.378265121994e+08,2.735190392503e+07,2.715891173234e+03,-3.678151215088e+00,1.405143226231e+08
1.18800000e+04,-1.373376172422e+08,2.735123499402e+07,2.716275449801e+03,-3.754546338588e+00,1.400346811035e+08
1.20600000e+04,-1.368486528825e+08,2.735055224120e+07,2.716662315673e+03,-3.831728608309e+00,1.395550330422e+08
1.22400000e+04,-1.363596186520e+08,2.734985552392e+07,2.717051796952e+03,-3.909708859878e+00,1.390753786164e+08
1.24200000e+04,-1.358705140775e+08,2.734914469755e+07,2.717443920091e+03,-3.988498115601e+00,1.385957180075e+08
