t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279318832383290e+11,-2.090637192415996e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694750000000004e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279318840400815e+11,-2.042359773486254e+08,3.751667303408742e+00,2.412989223132015e+04,4.230686229718895e+00,2.682092306732878e+04,1.689911942486066e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279318847613956e+11,-1.994081868456938e+08,3.291873904866935e+00,2.412989229842725e+04,3.783876794777784e+00,2.682119388999438e+04,1.685073403513234e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279318854022923e+11,-1.945803474557499e+08,2.832080505144406e+00,2.412989235677301e+04,3.337179808117819e+00,2.682146625860676e+04,1.680234407110686e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279318859627923e+11,-1.897524588993010e+08,2.372287104437914e+00,2.412989240635743e+04,2.890596577414823e+00,2.682174018677365e+04,1.675394950877959e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279318864429166e+11,-1.849245208943903e+08,1.912493702870067e+00,2.412989244718053e+04,2.444128429502216e+00,2.682201568826295e+04,1.670555032354846e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279318868426865e+11,-1.800965331565706e+08,1.452700300607813e+00,2.412989247924230e+04,1.997776710711697e+00,2.682229277700540e+04,1.665714648233927e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279318871621234e+11,-1.752684953988676e+08,9.929068978180967e-01,2.412989250254274e+04,1.551542787218307e+00,2.682257146709686e+04,1.660873797346908e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279318874012487e+11,-1.704404073317590e+08,5.331134946613598e-01,2.412989251708184e+04,1.105428045394121e+00,2.682285177280069e+04,1.656032476485252e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279318875600842e+11,-1.656122686631383e+08,7.332009130373084e-02,2.412989252285962e+04,6.594338921705767e-01,2.682313370855071e+04,1.651190682243698e+08
